"Apuntes para un inventario general de fiestas tradicionales del Peru (Instituto Nacional de Cultura, 2001)",,,,,,,,,,
Fiesta,Mes,Dia,Departamento,Provincia,Distrito,latitud ,longitud,,,
San Antonio (Patronal),Junio,13,Ayacucho,Vilcashuaman,Vilcashuaman,-13.65311,-73.95396,,,
Mamacha Asunta (Patronal),Agosto,15,Ayacucho,Vilcashuaman,Vischongo,-13.5892,-73.9953,,,
Las Cruces (Tradicional),Mayo,3,Cajamarca,Cajabamba,Cajabamba,-7.6237444444444,-78.04789722,,,
Semana Santa (Tradicional),Marzo/Abril,*,Cajamarca,Cajabamba,Cajabamba,-7.6237444444444,-78.04789722,,,
Virgen del Rosario (Patronal),Octubre,ler. Domingo,Cajamarca,Cajabamba,Cajabamba,-7.6237444444444,-78.04789722,,,
San Pedro y San Pablo (Patronal),Julio,29,Cajamarca,Cajabamba,Cajabamba (parubamba),-7.6348213428,-78.04708,,,
Santa Rosa (Patronal),Agosto,30,Cajamarca,Cajabamba,-,-7.6237444444444,-78.04789722,,,
Virgen del Carmen (Patronal),Julio,16,Cajamarca,Cajabamba,-,-7.6237444444444,-78.04789722,,,
San Isidro Labrador (Patronal),Mayo,15,Cajamarca,Cajabamba,Sitacocha,-7.51944,-77.9694,,,
Virgen de la Inmaculada Concepcion (Patronal),Diciembre,8,Cajamarca,Cajabamba,Sitacocha,-7.51944,-77.9694,,,
Virgen de la Asuncion (Patronal),Agosto,14-16,Cajamarca,Cajamarca,Asuncion,-7.32483,-78.517297,,,
Corpus Christi (Tradicional),Junio,*,Cajamarca,Cajamarca,Cajamarca,-7.1575,-78.5175,,,
Las Cruces (Tradicional),Mayo,3,Cajamarca,Cajamarca,Cajamarca,-7.1575,-78.5175,,,
Navidad (Tradicional),Diciembre,24,Cajamarca,Cajamarca,Cajamarca,-7.1575,-78.5175,,,
San Jose Obrero (Patronal),Mayo,1,Cajamarca,Cajamarca,Cajamarca,-7.1575,-78.5175,,,
San Pedro y San Pablo (Patronal),Junio,29,Cajamarca,Cajamarca,Cajamarca,-7.1575,-78.5175,,,
San Sebastian (Patronal),Enero,19,Cajamarca,Cajamarca,Cajammca,-7.1575,-78.5175,,,
Semana Santa (Tradicional),Marzo/Abril,*,Cajamarca,Cajamarca,Cajamarca,-7.1575,-78.5175,,,
Señor de los Milagros (Tradicional),Octubre,18-19,Cajamarca,Cajamarca,Cajamarca,-7.1575,-78.5175,,,
Todos los Santos (Tradicional),Noviembre,01-02,Cajamarca,Cajamarca,Cajamarca,-7.1575,-78.5175,,,
San Antonio de Padua (Patronal),Julio,24,Cajamarca,Cajamarca,Cajamarca (Charnis),-7.1607954,-78.51,,,
San Esteban (Patronal),Enero,1,Cajamarca,Cajamarca,Chetilla,-7.46261,-78.675883,,,
Virgen Purisima (Patronal),Enero,1,Cajamarca,Cajamarca,Chetilla,-7.46261,-78.675883,,,
Las Cruces (Tradicional),Marzo/Abril,*,Cajamarca,Cajamarca,Chetilla,-7.46261,-78.675883,,,
San Juan Bautista (Patronal),Junio,24,Cajamarca,Cajamarca,Chetilla,-7.46261,-78.675883,,,
Virgen de la Asuncion (Patronal),Agosto,15,Cajamarca,Cajamarca,Chetilla,-7.46261,-78.675883,,,
Virgen Purisima (Patronal),Diciembre,8,Cajamarca,Cajamarca,Encañada,-7.0859393,-78.467139,,,
Niño Jesus (Patronal),Enero,3??. Domingo,Cajamarca,Cajamarca,Jesus,-7.248147,-78.38446,,,
